"subject","rep","ef","abc","cf1","cf2","cf3","cf4","cf5","cf6","cf7","cf8","cf9","cf10","cf11","cf12","cf13","cf14","cf15","cf16","cf17","cf18","cf19","cf20","ef1","ef2","ef3","ef4","ef5","ef6","ef7","ef8","ef9","ef10","ef11","ef12","ef13","ef14","ef15","ef16","ef17","ef18","ef19","ef20","Pro","Low","med","high","Transfer","LearningCF","LearningEF","VAR00002","VAR00003"
2099,0,1,1,0.33,0.58,0.4,0.46,0.75,0.82,0.73,0.75,0.86,0.82,0.73,0.67,0.85,0.86,0.69,0.73,0.75,0.7,0.56,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1,0.93,0.87,0.8675,0.683,NA,NA,""
2110,0,1,1,0.73,0.92,1,0.75,0.58,0.91,0.75,0.85,0.79,0.58,0.58,0.85,0.64,0.86,1,0.92,0.75,0.83,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.87,0.9675,0.8045,NA,NA,""
2007,0,1,0,0.46,0.77,0.92,1,0.75,1,0.85,0.79,1,1,0.92,1,0.93,1,1,0.9,1,1,1,0.93,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,1,1,1,0.93,0.9825,0.911,0.0335,NA,""
2015,0,1,0,0.27,0.5,0.64,0.75,0.46,0.62,0.46,0.57,0.71,0.73,0.67,0.62,0.69,0.45,0.88,0.45,0.86,0.91,0.92,0.8,0,0,0.25,0,0.5,0,0,0,1,0.67,0.33,0,0,0,0.14,0.25,0,0,0.67,0.2,1,0.87,0.8,0.6,0.8175,0.648,0.2005,NA,""
2023,0,1,0,0.54,0.36,0.63,0.25,0.85,0.64,0.73,0.55,0.38,0.82,0.85,0.91,0.62,0.69,0.92,0.93,0.92,1,0.77,0.92,0,0.75,0.14,0.33,0,0,0,0.25,0,0,0,0.5,0.5,0.5,0.5,0,0.33,0,0,0,1,1,1,0.8,0.95,0.714,0.19,NA,""
2031,0,1,0,0.36,0.36,0.45,0.75,0.42,0.57,0.8,0.93,0.92,0.75,0.85,0.71,0.9,0.67,0.83,0.83,0.83,0.9,0.79,0.86,0.25,0.5,0.25,0,0,1,1,1,0.33,0,0,0,0.2,0.67,0,0,0.33,0,0,0,1,1,0.93,0.87,0.95,0.724,0.2765,NA,""
2042,0,1,0,0.64,0.92,0.93,1,1,0.83,0.82,0.8,0.7,0.73,0.77,0.83,0.8,0.91,0.91,0.85,1,0.82,0.9,1,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0.25,0,0,0,0,0,0,1,1,0.73,0.73,0.865,0.858,0.0275,NA,""
2050,0,1,0,0.55,0.77,0.83,1,1,1,0.92,1,1,1,0.83,0.93,1,0.9,1,0.92,1,1,0.86,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.93,0.8,0.9325,0.9155,0,NA,""
2058,0,1,0,0.4,0.31,0.58,0.83,0.64,0.67,0.73,0.57,0.67,0.75,0.77,0.83,0.93,0.62,0.91,0.83,1,0.82,0.75,0.73,0.2,0.5,0,0,0,0.67,0.25,0,0.17,0,0,0,0,0,1,0.33,0,0,0,0,0.67,0.67,0.73,0.53,0.65,0.717,0.156,NA,""
2066,0,1,0,0.55,0.69,0.69,0.73,0.83,0.57,0.83,0.62,0.78,0.75,0.8,0.85,0.92,0.82,0.69,0.62,0.5,0.71,0.85,0.73,0.5,0.5,0,0.5,0,0,0,0,0.33,0.33,0.2,0,0,0.5,0,0,0.2,0,0,0.5,1,0.87,0.8,0.8,0.8675,0.7265,0.178,NA,""
2077,0,1,0,0.54,0.58,0.85,0.54,0.58,0.58,0.54,0.44,0.46,0.62,0.83,0.54,0.5,0.55,0.57,0.5,0.58,0.64,0.67,0.3,1,0.33,0.5,0.5,0,0,0,0.17,0.5,0.5,0,0.5,0.33,0.25,0,0.6,0,0.25,0.33,0.2,0.67,0.93,0.8,0.67,0.7675,0.5705,0.298,NA,""
2085,0,1,0,0.54,0.31,0.69,0.4,0.1,0.5,0.42,0.2,0.33,0.45,0.46,0.55,0.2,0.23,0.18,0.33,0.64,0.45,0.33,0.25,0.5,0.5,0,0.2,0.6,0,0.33,0.6,0.33,0.25,0.5,0.5,0.25,0,0.75,0,0.25,0,0.16,0.33,1,0.53,0.67,0.53,0.6825,0.378,0.3025,NA,""
2091,0,1,0,0.53,0.82,0.43,0.25,0.56,0.71,0.85,0.91,1,0.92,0.89,0.82,0.86,0.87,0.92,0.8,0.93,0.88,0.78,0.86,0.68,0.5,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,1,1,1,0.8,0.95,0.7795,0.0755,NA,""
